GDP_per_capita,log.GDP_per_capita.,HealthExpenditure_percentofGDP,Population_Growth,Infant_Mortality_per1000livebirth,Inflation_ConsumerPrices_percent,Current_education_expenditure_percentofGDP,Life_expectancy_Birth_inyears
6967.38,3.84,6.61,1.61,36.6,3,4,68.07
1996.92,3.3,3.54,1.04,29.7,3.95,4,69.42
1698.13,3.23,2.34,1.05,26.7,5.54,4,72.32
6473.55,3.81,5.23,1.92,26.61,2.46,4,71.81
5915.85,3.77,4.11,2.32,22.5,0.37,4,70.45
3125.4,3.49,3.37,2.48,22.4,2.33,4,70.32
3548.59,3.55,6.3,1.42,22,2.27,4,71.24
4340.02,3.64,4.93,1.47,20.49,2.9,4,69.93
3226.98,3.51,5.31,1.25,19.1,1.8,4,76.45
7476.08,3.87,5.83,1.74,18.5,1.95,4,74.09
2537.13,3.4,4.95,2.03,17.9,14.4,4,71.83
2411.86,3.38,4.47,2.61,17.3,3.46,4,72.84
3680.89,3.57,7.29,1.15,14.6,7.31,4,76.51
31628.48,4.5,2.41,1.05,9.4,1.03,4,75.72
5287.66,3.72,5.26,-0.25,8.5,2.03,4,78.46
6108.74,3.79,6.58,0.08,6.8,1.46,4,75.69
43839.32,4.64,4.23,1.5,6.5,3.07,4,77.81
24085.96,4.38,4.13,1,6.1,2.09,4,77.16
30672.29,4.49,8.96,3.49,6.1,1.16,4,82.45
23337.02,4.37,6.36,1.8,6,2.46,4,75
9446.7,3.98,7.35,-0.72,5.9,2.81,4,74.96
65907.95,4.82,2.49,2.07,5.8,0.26,4,80.1
63064.42,4.8,6,0.53,5.6,2.44,4,78.64
61381.72,4.79,6,0.62,5.5,2.36,4,78.99
6070.35,3.78,8.9,-0.83,5.2,1.42,4,77.26
46454.74,4.67,10.79,1.41,4.3,2.27,4,82.05
15227.56,4.18,6.83,-0.89,4.1,1.5,4,78.07
8824.19,3.95,11.19,-0.01,3.9,3,4,78.73
61591.93,4.79,10.07,0.5,3.3,0.81,4,80.95
8845.91,3.95,8.42,-0.02,2.2,2.61,4,76.77
29089.47,4.46,6.77,0.81,1.9,1.44,4,80.83
39808.17,4.6,10.95,-0.2,1.8,0.99,4,84.21
