GDP_per_capita,HealthExpenditure_percentofGDP,Population_Growth,Infant_Mortality_per1000livebirth,Inflation_ConsumerPrices_percent,Current_education_expenditure_percentofGDP,Life_expectancy_Birth_inyears
3598.48,8.66,1.39,12.4,18.01,3.96,76.48
8050.64,5.73,1.08,24.1,3.56,3.93,73.89
10279.08,9.41,3.82,7,-0.13,3.91,78.63
19176.81,6.57,-0.95,3.3,2.7,3.89,75.68
894.8,3.88,3.01,61.8,0.3,3.88,58.89
4932.96,5.41,1.24,31.41,3.21,3.71,71.02
6957.79,5.24,1.72,10.7,1.32,3.71,76.52
1042.84,3.63,2.98,37,3.49,3.7,65.02
117197.48,5.29,1.93,2.3,1.53,3.67,82.3
1626.06,5.16,2.68,53,4.09,3.64,61.27
3141.86,2.32,1.56,49.8,0.15,3.63,66.58
4052.62,7.11,0.51,11.8,1.09,3.61,73.1
19747.34,7.72,-0.2,3.5,0.63,3.59,81.79
1759.5,3.81,2.28,60.05,2.31,3.59,62.16
1254.64,4.73,1.41,39.3,10.62,3.59,61.2
7252.4,8.54,-0.55,4.8,1.96,3.58,75.89
1313.08,4.09,2.27,50.12,2.97,3.56,64.25
2014.58,8.56,1.26,14.9,4.95,3.56,74.28
10466.88,4.46,0.52,14.7,0.8,3.55,72.38
9905.34,5.35,0.47,7.3,2.07,3.54,76.7
4722.79,7.11,-0.04,8.7,2.62,3.52,73.6
1087.03,4.33,2.27,44.95,3.05,3.5,65.3
570.72,7.33,3.82,47.9,2.97,3.45,62.02
11297.6,6.68,0.61,12.4,2.31,3.43,76.07
79068.97,6.93,1.24,2.9,0.49,3.38,82.26
544.59,9.33,2.64,32.1,12.42,3.38,63.8
12398.98,5.56,-0.59,6.2,4.63,3.34,75.36
11353.72,4.4,0.52,19.7,1.94,3.33,76.06
983.41,4.86,2.78,48.34,3.05,3.31,63.13
1051.89,4.02,2.36,46.02,3.46,3.29,65.04
17037.86,6.93,0.42,16.1,1.02,3.29,73.38
5782.78,6.65,1.29,17.2,3.98,3.28,74.13
2314.05,4.19,2.55,60.6,0.36,3.24,57.42
485.67,9.4,2.38,48,0.63,3.2,64.49
672.48,5.23,2.63,49.2,3.91,3.2,63.39
1894.01,3.48,1.2,34.5,3.33,3.2,69.41
